v,time,rate
420,22,20.00
430,22,20.00
440,22,20.00
450,22,20.00
460,22,20.00
470,22,20.00
480,22,20.00
490,22,20.00
500,22,20.00
510,22,20.00
520,22,20.00
530,22,20.00
540,22,20.00
550,22,20.00
560,22,20.00
570,22,20.00
580,22,20.00
590,22,20.00
600,22,20.00
600,22,20.00
590,22,20.00
580,22,20.00
570,22,20.00
560,22,20.00
550,22,20.00
540,22,20.00
530,22,20.00
520,22,20.00
510,22,20.00
500,22,20.00
490,22,20.00
480,22,20.00
470,22,20.00
460,22,20.00
450,22,20.00
440,22,20.00
430,22,20.00
420,22,20.00
410,22,20.00
400,22,20.00
390,22,20.00
380,22,20.00
370,22,20.00
360,22,20.00
350,22,20.00
340,22,20.00
330,22,20.00
320,22,20.00
310,22,20.00
300,22,20.00
290,22,20.00
280,22,20.00
270,22,20.00
260,22,20.00
250,22,20.00
240,22,20.00
230,22,20.00
220,22,20.00
210,22,20.00
200,22,20.00
190,22,20.00
180,22,20.00
170,22,20.00
160,22,20.00
150,22,20.00
140,22,20.00
130,22,20.00
120,22,20.00
110,22,20.00
100,22,20.00
90,22,20.00
80,22,20.00
70,22,20.00
60,22,20.00
50,22,20.00
40,22,20.00
30,22,20.00
20,22,20.00
10,22,20.00
0,21,20.00
-10,22,20.00
-20,22,20.00
-30,22,20.00
-40,22,20.00
-50,22,20.00
-60,22,20.00
-70,22,20.00
-80,22,20.00
-90,22,20.00
-100,22,20.00
-110,22,20.00
-120,22,20.00
-130,22,20.00
-140,22,20.00
-150,22,20.00
-160,22,20.00
-170,22,20.00
-180,22,20.00
-190,22,20.00
-200,22,20.00
-200,22,20.00
-190,22,20.00
-180,22,20.00
-170,22,20.00
-160,22,20.00
-150,22,20.00
-140,22,20.00
-130,22,20.00
-120,22,20.00
-110,22,20.00
-100,22,20.00
-90,22,20.00
-80,22,20.00
-70,22,20.00
-60,22,20.00
-50,22,20.00
-40,22,20.00
-30,22,20.00
-20,22,20.00
-10,22,20.00
0,21,20.00
10,22,20.00
20,22,20.00
30,22,20.00
40,22,20.00
50,22,20.00
60,22,20.00
70,22,20.00
80,22,20.00
90,22,20.00
100,22,20.00
110,22,20.00
120,22,20.00
130,22,20.00
140,22,20.00
150,22,20.00
160,22,20.00
170,22,20.00
180,22,20.00
190,22,20.00
200,22,20.00
210,22,20.00
220,22,20.00
230,22,20.00
240,22,20.00
250,22,20.00
260,22,20.00
270,22,20.00
280,22,20.00
290,22,20.00
300,22,20.00
310,22,20.00
320,22,20.00
330,22,20.00
340,22,20.00
350,22,20.00
360,22,20.00
370,22,20.00
380,22,20.00
390,22,20.00
400,22,20.00
410,22,20.00
420,22,20.00
430,22,20.00
440,22,20.00
450,22,20.00
460,22,20.00
470,22,20.00
480,22,20.00
490,22,20.00
500,22,20.00
510,22,20.00
520,22,20.00
530,22,20.00
540,22,20.00
550,22,20.00
560,22,20.00
570,22,20.00
580,22,20.00
590,22,20.00
600,22,20.00
600,22,20.00
590,22,20.00
580,22,20.00
570,22,20.00
560,22,20.00
550,22,20.00
540,22,20.00
530,22,20.00
520,22,20.00
510,22,20.00
500,22,20.00
490,22,20.00
480,22,20.00
470,22,20.00
460,22,20.00
450,22,20.00
440,22,20.00
430,22,20.00
420,22,20.00
410,22,20.00
400,22,20.00
390,22,20.00
380,22,20.00
370,22,20.00
360,22,20.00
350,22,20.00
340,22,20.00
330,22,20.00
320,22,20.00
310,22,20.00
300,22,20.00
290,22,20.00
280,22,20.00
270,22,20.00
260,22,20.00
250,22,20.00
240,22,20.00
230,22,20.00
220,22,20.00
210,22,20.00
200,22,20.00
190,22,20.00
180,22,20.00
170,22,20.00
160,22,20.00
150,22,20.00
140,22,20.00
130,22,20.00
120,22,20.00
110,22,20.00
100,22,20.00
90,22,20.00
80,22,20.00
70,22,20.00
60,22,20.00
50,22,20.00
40,22,20.00
30,22,20.00
20,22,20.00
10,22,20.00
0,21,20.00
-10,22,20.00
-20,22,20.00
-30,22,20.00
-40,22,20.00
-50,22,20.00
-60,22,20.00
-70,22,20.00
-80,22,20.00
-90,22,20.00
-100,22,20.00
-110,22,20.00
-120,22,20.00
-130,22,20.00
-140,22,20.00
-150,22,20.00
-160,22,20.00
-170,22,20.00
-180,22,20.00
-190,22,20.00
-200,22,20.00
-200,22,20.00
-190,22,20.00
-180,22,20.00
-170,22,20.00
-160,22,20.00
-150,22,20.00
-140,22,20.00
-130,22,20.00
-120,22,20.00
-110,22,20.00
-100,22,20.00
-90,22,20.00
-80,22,20.00
-70,22,20.00
-60,22,20.00
-50,22,20.00
-40,22,20.00
-30,22,20.00
-20,22,20.00
-10,22,20.00
0,21,20.00
10,22,20.00
20,22,20.00
30,22,20.00
40,22,20.00
50,22,20.00
60,22,20.00
70,22,20.00
80,22,20.00
90,22,20.00
100,22,20.00
110,22,20.00
120,22,20.00
130,22,20.00
140,22,20.00
150,22,20.00
160,22,20.00
170,22,20.00
180,22,20.00
190,22,20.00
200,22,20.00
210,22,20.00
220,22,20.00
230,22,20.00
240,22,20.00
250,22,20.00
260,22,20.00
270,22,20.00
280,22,20.00
290,22,20.00
300,22,20.00
310,22,20.00
320,22,20.00
330,22,20.00
340,22,20.00
350,22,20.00
360,22,20.00
370,22,20.00
380,22,20.00
390,22,20.00
400,22,20.00
410,22,20.00
420,22,20.00
430,22,20.00
440,22,20.00
450,22,20.00
460,22,20.00
470,22,20.00
480,22,20.00
490,22,20.00
500,22,20.00
510,22,20.00
520,22,20.00
530,22,20.00
540,22,20.00
550,22,20.00
560,22,20.00
570,22,20.00
580,22,20.00
590,22,20.00
600,22,20.00
600,22,20.00
590,22,20.00
580,22,20.00
570,22,20.00
560,22,20.00
550,22,20.00
540,22,20.00
530,22,20.00
520,22,20.00
510,22,20.00
500,22,20.00
490,22,20.00
480,22,20.00
470,22,20.00
460,22,20.00
450,22,20.00
440,22,20.00
430,22,20.00
420,22,20.00
410,22,20.00
400,22,20.00
390,22,20.00
380,22,20.00
370,22,20.00
360,22,20.00
350,22,20.00
340,22,20.00
330,22,20.00
320,22,20.00
310,22,20.00
300,22,20.00
290,22,20.00
280,22,20.00
270,22,20.00
260,22,20.00
250,22,20.00
240,22,20.00
230,22,20.00
220,22,20.00
210,22,20.00
200,22,20.00
190,22,20.00
180,22,20.00
170,22,20.00
160,22,20.00
150,22,20.00
140,22,20.00
130,22,20.00
120,22,20.00
110,22,20.00
100,22,20.00
90,22,20.00
80,22,20.00
70,22,20.00
60,22,20.00
50,22,20.00
40,22,20.00
30,22,20.00
20,22,20.00
10,22,20.00
0,21,20.00
-10,22,20.00
-20,22,20.00
-30,22,20.00
-40,22,20.00
-50,22,20.00
-60,22,20.00
-70,22,20.00
-80,22,20.00
-90,22,20.00
-100,22,20.00
-110,22,20.00
-120,22,20.00
-130,22,20.00
-140,22,20.00
-150,22,20.00
-160,22,20.00
-170,22,20.00
-180,22,20.00
-190,22,20.00
-200,22,20.00
